,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Date
231,Pro,21720,36896,172694,95629,312349,334897,371836,538788,143638,166972,253015,144013,2021-04-28
232,Client,106220,112652,722400,142684,422570,544279,453843,635671,223532,90088,145799,132392,2021-04-29
233,DII,1183,39699,24209,873518,267,20126,0,0,0,0,3634,0,2021-04-29
234,FII,73637,20710,622015,433696,150276,223800,87161,125741,12705,15507,17802,16317,2021-04-29
235,Pro,11629,19608,137507,56233,116058,141803,148167,168596,51501,87913,120503,44799,2021-04-29
236,Client,117887,103790,900217,196321,751800,643429,753186,800512,373252,139107,226244,198165,2021-04-30
237,DII,2902,35431,33865,1084813,267,20361,0,0,0,0,10778,0,2021-04-30
238,FII,64958,40692,764474,527412,220960,273039,143517,147212,22040,25383,34395,27553,2021-04-30
239,Pro,13890,19724,184279,74289,211806,232761,288130,221866,78034,132580,201909,71352,2021-04-30
240,Client,142540,103860,930354,221010,977911,893363,945050,1029164,439371,157418,262616,221822,2021-05-03
241,DII,3590,33656,31615,1092157,267,19961,0,0,373,0,18315,0,2021-05-03
242,FII,56576,49630,775698,543975,277952,326734,194567,185328,26081,27027,39404,28888,2021-05-03
243,Pro,12575,28135,201018,81543,297465,293410,413978,318976,88704,147015,234194,80750,2021-05-03
244,Client,154652,115554,938239,241212,1198101,925914,1121548,1082194,492792,170505,289208,244231,2021-05-04
245,DII,3070,34497,30627,1093638,267,19961,0,0,0,0,23616,0,2021-05-04
246,FII,52413,47926,797263,547834,298814,332037,204884,183356,30458,30169,45519,31470,2021-05-04
247,Pro,13215,25373,203418,86863,327481,307053,498231,319415,96978,164615,261885,89588,2021-05-04
248,Client,157086,110344,948821,248789,1178959,1161709,1142125,1246017,513320,188921,311362,250668,2021-05-05
249,DII,3070,36495,32659,1100643,267,26236,0,0,0,0,25091,0,2021-05-05
250,FII,50278,45815,807519,550180,306496,337285,213639,208943,32871,32128,48998,34576,2021-05-05
251,Pro,11489,29269,204575,93962,347706,347674,477664,417944,106283,162591,267023,98396,2021-05-05
252,Client,156250,108077,952994,263943,511160,654071,582419,778853,536695,205933,328390,261100,2021-05-06
253,DII,3069,39845,38034,1094967,267,20494,0,0,0,0,30247,0,2021-05-06
254,FII,52421,50496,809407,552094,225187,271225,118424,140386,35090,34609,51123,37280,2021-05-06
255,Pro,11500,24822,209064,98495,169169,193258,204940,219809,115815,168908,277840,111070,2021-05-06
256,Client,155475,110905,947421,259386,719160,864679,791493,1003051,559040,220673,343052,269742,2021-05-07
257,DII,3067,40242,39492,1092454,267,20494,0,0,0,0,31665,0,2021-05-07
258,FII,55783,50233,815029,561234,244456,299023,154128,174337,38005,38597,56208,40657,2021-05-07
259,Pro,10854,23799,207423,96291,281951,296933,300213,303741,127381,173452,293501,122323,2021-05-07
